Marque;Modele;Cote attendue /5;Amortissement /5;Dynamisme /5;Insonnorisation /5;Maniabilité /5;Habilité /5
VOLKSWAGEN;VOLKSWAGEN POLO 6;3.5;4;3.5;3.5;3.5;3.5
VOLKSWAGEN;VOLKSWAGEN GOLF 7;4;4;3.5;4;4;4
VOLKSWAGEN;VOLKSWAGEN GOLF 8;4;4;3.5;4.5;4;4
VOLKSWAGEN;VOLKSWAGEN T-ROC;3;3.5;3.5;4;4;3.5
VOLKSWAGEN;VOLKSWAGEN TIGUAN 2;4;4;3.5;4.5;3.5;4
VOLKSWAGEN;VOLKSWAGEN TOUAREG 2;3;4;3;4.5;3;3.5
VOLKSWAGEN;VOLKSWAGEN TOUAREG 3;4;4;3;4;3.5;4.5
VOLKSWAGEN;VOLKSWAGEN ARTEON;2.5;4;3;5;3;4
VOLKSWAGEN;VOLKSWAGEN PASSAT 8;2.5;4;3;4.5;3.5;3.5
VOLKSWAGEN;VOLKSWAGEN UP!;3;3.5;4;4.5;4;2.5
VOLKSWAGEN;VOLKSWAGEN ID.3;3;3.5;3;4;4.5;3
VOLKSWAGEN;VOLKSWAGEN ID.4;2;4;3;2.5;3.5;3.5
VOLKSWAGEN;VOLKSWAGEN ID.5;3;3.5;3.5;4.5;4.5;3
VOLKSWAGEN;VOLKSWAGEN CADDY 4;3.5;3.5;3;4;3.5;4.5
VOLKSWAGEN;VOLKSWAGEN CADDY 5;3;4;3;3.5;4;4.5
VOLKSWAGEN;VOLKSWAGEN TRANSPORTER 6;3.5;4;3.5;3;4;4
VOLKSWAGEN;VOLKSWAGEN CRAFTER 2;3;3.5;3.5;3.5;3.5;3.5
RENAULT;RENAULT CLIO 4;1.5;3;4;4.5;4;3
RENAULT;RENAULT CLIO 5;4;4.5;3.5;4.5;3.5;3.5
RENAULT;RENAULT CAPTUR 2;2.5;4;3.5;4;4;4
RENAULT;RENAULT MEGANE 4;2;3.5;4;4;3.5;3.5
RENAULT;RENAULT MEGANE 5;1.5;4.5;4;4;4;3.5
RENAULT;RENAULT KADJAR;1.5;4;4;3.5;4;3
RENAULT;RENAULT SCENIC 4;1.5;4;4;4;3.5;3.5
RENAULT;RENAULT KOLEOS 2;1.5;4;2.5;3;3;3.5
RENAULT;RENAULT TALISMAN;2.5;4;4.5;4;4.5;4
RENAULT;RENAULT ESPACE 5;1.5;3.5;4;3.5;4;4
RENAULT;RENAULT TWINGO 3;3.5;3.5;2.5;3;5;3.5
RENAULT;RENAULT ZOE;1.5;3.5;3;4;4;3.5
RENAULT;RENAULT KANGOO 2;4;4;3.5;2.5;3.5;4
RENAULT;RENAULT TRAFIC 3;2.5;3.5;4;4;3.5;4
RENAULT;Master;2;3.5;3;3.5;3.5;3
RENAULT;RENAULT ARKANA;1.5;2.5;2.5;3.5;3;3.5
AUDI;AUDI A1;3;4;3.5;3.5;3.5;3.5
AUDI;AUDI A3 (3E GENERATION);3.5;4;3.5;4;4;3.5
AUDI;AUDI A4 (5E GENERATION);3.5;4;3;4.5;3.5;3.5
AUDI;AUDI A5 (2E GENERATION);4;4;3.5;4.5;3.5;3.5
AUDI;AUDI A6 (4E GENERATION);3.5;4;3;4.5;3.5;3
AUDI;AUDI A8 (4E GENERATION);2;5;2.5;5;3.5;3.5
AUDI;AUDI E-TRON;2.5;4;3;5;4;4
AUDI;AUDI Q2;3.5;4;4;4;4;3
AUDI;AUDI Q3;4;4;3;4;3.5;3
AUDI;AUDI Q5;3.5;4.5;3;4;3.5;3.5
AUDI;AUDI Q7 (2E GENERATION);3.5;5;3;5;3;4.5
AUDI;AUDI Q8;3;4.5;3.5;5;4;4
AUDI;AUDI S3 (4E GENERATION) SPORTBACK;3.5;4;4;4;4;3.5
AUDI;AUDI S6 AVANT (5E GENERATION);3.5;4;3.5;4;3.5;4
AUDI;AUDI S8 (3E GENERATION);2.5;4;3.5;4;3.5;3.5
AUDI;AUDI TT 3;3.5;3.5;2.5;4;3;4.5
AUDI;AUDI R8 (2E GENERATION) SPYDER;4;4;4.5;4;4.5;2.5
