id;PRIX;Marque;MODELE;MOTEUR;ANNEE;CARBURANT;KILOMETRAGE;NoteConsommation;Fiabilite;DureeGarantie;Performance;CoteAttendue;Habitabilite
1681300508-307;71950;DS;7 CROSSBACK;1.6 E-TENSE 300 PERFORMANCE LINE +;2023;Hybrides;9440;3.5;4;2.5;2.5;3.5;3.5
1681300508-308;18390;PEUGEOT;308 II phase 2;1.5 BLUEHDI 130 STYLE;2020;Diesel;107134;3.5;4;2.5;3;4;4
1681300508-309;19250;PEUGEOT;308 II SW phase 2;1.5 BLUEHDI 130 ACTIVE BUSINESS;2020;Diesel;85701;3.5;3;2.5;3;4;4
1681300508-310;31200;VOLKSWAGEN;TAIGO;LIFE PLUS 1.0 TSI 110CH AUTOMATIQUE;2024;Essence;11;3.5;3.5;2.5;3.5;3;3.5
1681300508-311;20960;AUDI;A3 III SPORTBACK phase 2;1.6 TDI 116 SPORT;2018;Diesel;128804;3.5;3.5;2.5;3.5;4;4
1681300508-312;44980;DS;7 CROSSBACK;1.6 E-TENSE 225 SO CHIC;2022;Hybrides;31125;3.5;3;2.5;4;3;3.5
1681300508-313;22750;PEUGEOT;3008 II;1.2 PURETECH 130 GT LINE;2019;Essence;91521;5;3;2.5;3;4;4.5
1681300508-314;36590;PEUGEOT;5008 II;2.0 BLUEHDI 180 GT LINE;2019;Diesel;86620;5;3;2.5;3.5;3;4
1681300508-315;30520;LAND;ROVER RANGE ROVER EVOQUE phase 2;2.0 TD4 180 SE DYNAMIC;2017;Diesel;100595;4.5;3;2.5;4;3;3.5
1681300508-316;13180;MAZDA;CX-3;1.5 SKYACTIV-D 105 DYNAMIQUE;2017;Diesel;144781;4;3.5;2.5;4;3;2.5
1681300508-317;29330;RENAULT;MEGANE 4;INTENS 1.3 TCE 140CH AUTOMATIQUE;2022;Essence;44981;4;3.5;2;3;3;3
1681300508-318;42980;OPEL;MOKKA II;50kWh ELECTRIQUE 136 GS LINE;2023;electrique;3013;4;3.5;2;3.5;2;3.5
1681300508-319;19750;RENAULT;CLIO V;1.3 TCE 140 RS LINE;2022;Essence;54590;4;3.5;2;3;3;3
1681300508-320;135340;CHEVROLET;CORVETTE C8 STINGRAY TARGA;6.2 V8 482 3LT;2023;Essence;26;4.5;3;2;3.5;3.5;4.5
1681300508-321;9400;RENAULT;CLIO IV SOCIETE phase 2;1.5 DCI 90 AIR MEDIANAV;2020;Diesel;89870;4;3;2;3;3;4.5
1681300508-322;37920;DS;7 CROSSBACK;2.0 BLUEHDI 180 GRAND CHIC;2020;Diesel;67986;4;3.5;2;3;3.5;4
1681300508-323;22210;CITROEN;C3 III;1.2 PURETECH 110 FEEL;2020;Essence;18380;3.5;3.5;2;3;3;3.5
1681300508-324;71950;DS;7 CROSSBACK;1.6 E-TENSE 300 PERFORMANCE LINE +;2023;Hybrides;9440;3.5;3.5;2;3.5;3;3
1681300508-325;18390;PEUGEOT;308 II phase 2;1.5 BLUEHDI 130 STYLE;2020;Diesel;107134;3;4;2;3;4;3.5
1681300508-326;19250;PEUGEOT;308 II SW phase 2;1.5 BLUEHDI 130 ACTIVE BUSINESS;2020;Diesel;85701;3;4;2;3;3;4
1681300508-327;31200;VOLKSWAGEN;TAIGO;LIFE PLUS 1.0 TSI 110CH AUTOMATIQUE;2024;Essence;11;3.5;4;2.5;2.5;2;3.5
1681300508-328;20960;AUDI;A3 III SPORTBACK phase 2;1.6 TDI 116 SPORT;2018;Diesel;128804;3.5;4;2.5;3;3;3.5
1681300508-329;44980;DS;7 CROSSBACK;1.6 E-TENSE 225 SO CHIC;2022;Hybrides;31125;3.5;3;2.5;3;3;3
1681300508-330;22750;PEUGEOT;3008 II;1.2 PURETECH 130 GT LINE;2019;Essence;91521;3.5;3.5;2.5;3.5;3;3.5
1681300508-331;36590;PEUGEOT;5008 II;2.0 BLUEHDI 180 GT LINE;2019;Diesel;86620;3.5;3.5;2.5;3.5;3;3.5
1681300508-332;30520;LAND;ROVER RANGE ROVER EVOQUE phase 2;2.0 TD4 180 SE DYNAMIC;2017;Diesel;100595;3.5;3;2.5;4;3;4
1681300508-333;13180;MAZDA;CX-3;1.5 SKYACTIV-D 105 DYNAMIQUE;2017;Diesel;144781;5;3;2.5;3;3;4
1681300508-334;29330;RENAULT;MEGANE 4;INTENS 1.3 TCE 140CH AUTOMATIQUE;2022;Essence;44981;5;3;2.5;3.5;3.5;3.5
1681300508-335;42980;OPEL;MOKKA II;50kWh ELECTRIQUE 136 GS LINE;2023;electrique;3013;4.5;3;2.5;4;3;3.5
1681300508-336;19750;RENAULT;CLIO V;1.3 TCE 140 RS LINE;2022;Essence;54590;4;3.5;2.5;4;4;4
1681300508-337;135340;CHEVROLET;CORVETTE C8 STINGRAY TARGA;6.2 V8 482 3LT;2023;Essence;26;3.5;4;2.5;3;3;4
1681300508-338;9400;RENAULT;CLIO IV SOCIETE phase 2;1.5 DCI 90 AIR MEDIANAV;2020;Diesel;89870;3;3;2;4.5;2;3
1681300508-339;37920;DS;7 CROSSBACK;2.0 BLUEHDI 180 GRAND CHIC;2020;Diesel;67986;3.5;3;3.5;2;3;3.5
1681300508-340;22210;CITROEN;C3 III;1.2 PURETECH 110 FEEL;2020;Essence;18380;3.5;4;2.5;3.5;3;3.5
1681300510-341;71950;DS;7 CROSSBACK;1.6 E-TENSE 300 PERFORMANCE LINE +;2023;Hybrides;9440;3.5;4;2.5;3.5;3.5;3.5
1681300510-342;26540;DACIA;JOGGER;1.0 TCE 110 SL EXTREME;2023;Essence;472;3;2.5;2;2.5;3.5;3.5
1681300510-343;32460;PEUGEOT;3008 II;2.0 BLUEHDI 180 GT;2020;Diesel;100496;3.5;2.5;3;4;4;3.5
1681300510-344;37060;VOLKSWAGEN;TIGUAN II;2.0 TDI 150 CONFORTLINE;2020;Diesel;26086;3.5;2.5;3;4;3.5;3
1681300510-345;20520;CITROEN;C3 III phase 2;1.5 BLUEHDI 102 SHINE;2022;Diesel;10128;2.5;3.5;3.5;3.5;2;3.5
1681300510-346;13520;PEUGEOT;208;ALLURE 1.2 PURETECH 82CH MANUELLE;2018;Essence;56526;4;3;2;3.5;2;4
1681300510-347;30430;MERCEDES;CLASSE C IV COUPE;2.0 250 211 FASCINATION;2018;Essence;108098;4;3;2;3.5;3.5;3
1681300510-348;26780;RENAULT;SCENIC IV;1.7 DCI 120 ZEN;2021;Diesel;8546;4;3;3.5;3;4;3
1681300510-349;32080;CITROEN;C5 AIRCROSS;1.5 BLUEHDI 131 SHINE PACK;2022;Diesel;46915;4;3;3.5;3;3.5;3.5
1681300510-350;22030;DACIA;DUSTER 2;1.0 TCE 90 PRESTIGE 4X2;2023;Essence;105;4.5;3;3.5;3.5;3.5;4.5
1681300510-351;69300;AUDI;A4 V AVANT phase 3;2.0 40 204 S EDITION;2023;Diesel;14577;3.5;3;2;4;3;4
1681300510-352;22760;PEUGEOT;308 (2E GENERATION);ALLURE 1.2 PURETECH 130CH MANUELLE;2020;Essence;27816;4;3.5;3.5;3;3.5;3.5
1681300510-353;14540;PEUGEOT;208 phase 2;1.6 BLUEHDI 99 ACTIVE BUSINESS;2019;Diesel;93218;3.5;3.5;3.5;4;3.5;4
